INDICATOR_SEQ,PARENT_SEQ,AGENCY_NAME,INDICATOR_NAME,DESCRIPTION,CATEGORY,FREQUENCY,DESIRED_CHANGE,INDICATOR_UNIT,DECIMAL_PLACES,PERIOD_YEAR,PERIOD_MONTH,YTD_TARGET,YTD_ACTUAL,MONTHLY_TARGET,MONTHLY_ACTUAL
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2008,11,2.37,2.32,2.37,1.87
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2008,12,2.37,2.34,2.37,2.86
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2009,1,2.26,2.83,2.26,2.83
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2009,2,2.26,2.7,2.26,2.43
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2009,3,2.26,2.79,2.26,3.04
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2009,4,2.26,2.77,2.26,2.59
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2009,5,2.26,2.9,2.26,3.21
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2009,6,2.26,2.95,2.26,3.16
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2009,7,2.26,2.93,2.26,2.85
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2009,8,2.26,3.03,2.26,3.21
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2009,9,2.26,2.99,2.26,2.38
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2009,10,2.26,2.95,2.26,2.23
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2009,11,2.26,2.89,2.26,1.92
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2009,12,2.26,2.89,2.26,2.38
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2010,1,2.75,1.81,2.75,1.81
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2010,2,2.75,1.97,2.75,1.84
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2010,3,2.75,2.3,2.75,2.11
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2010,4,2.75,2.43,2.75,2.16
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2010,5,2.75,2.5,2.75,1.93
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2010,6,2.75,2.81,2.75,3.08
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2010,7,2.75,2.89,2.75,3.39
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2010,8,2.75,2.97,2.75,3.49
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2010,9,2.75,3.03,2.75,3.54
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2010,10,2.75,2.96,2.75,2.34
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2010,11,2.75,3.06,2.75,3.05
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2010,12,2.75,3.1,2.75,3.51
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2011,1,0,3.49,0,3.49
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2011,2,0,3.28,0,3.07
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2011,3,0,3.19,0,2.91
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2011,4,0,3.03,0,2.53
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2011,5,0,3.14,0,3.02
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2011,6,0,3.32,0,3.86
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2011,7,0,3.41,0,3.84
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2011,8,0,3.41,0,3.43
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2011,9,0,3.38,0,3.18
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2011,10,0,3.39,0,3.48
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2011,11,0,3.38,0,3.22
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2011,12,0,3.33,0,2.74
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2012,1,0,2.84,0,2.84
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2012,2,0,2.78,0,2.71
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2012,3,0,3.2,0,3.44
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2012,4,0,3.22,0,3.29
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2012,5,0,3.26,0,3.4
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2012,6,0,3.25,0,3.17
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2012,7,0,3.28,0,3.45
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2012,8,0,3.27,0,3.22
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2012,9,0,3.18,0,2.43
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2012,10,0,3.19,0,2.94
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2012,11,0,3.14,0,2.61
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2012,12,0,3.09,0,2.1
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2013,1,0,3.26,0,3.26
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2013,2,0,3,0,2.75
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2013,3,0,3.23,0,3.69
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2013,4,0,3.27,0,3.39
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2013,5,0,3.39,0,3.87
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2013,6,0,3.45,0,3.74
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2013,7,0,3.48,0,3.63
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2013,8,0,3.5,0,3.7
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2013,9,0,3.44,0,2.93
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2013,10,0,3.45,0,3.53
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2013,11,0,3.41,0,3.04
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2013,12,0,3.41,0,3.38
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2014,1,0,3.31,0,3.31
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2014,2,0,3.48,0,3.65
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2014,3,0,3.46,0,3.43
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2014,4,0,3.28,0,2.73
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2014,5,0,3.38,0,3.8
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2014,6,0,3.39,0,3.44
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2014,7,0,3.37,0,3.23
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2014,8,0,3.32,0,3.01
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2014,9,0,3.3,0,3.06
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2014,10,0,3.34,0,3.75
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2014,11,0,3.31,0,3.03
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2014,12,0,3.3,0,3.16
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2015,1,3.2,3.73,3.2,3.73
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2015,2,3.2,3.57,3.2,3.4
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2015,3,3.2,3.62,3.2,3.74
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2015,4,3.2,3.51,3.2,3.17
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2015,5,3.2,3.52,3.2,3.53
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2015,6,3.2,3.56,3.2,3.8
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2015,7,3.2,3.53,3.2,3.37
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2015,8,3.2,3.5,3.2,3.25
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2015,9,3.2,3.52,3.2,3.67
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2015,10,3.2,3.57,3.2,4.04
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2015,11,3.2,3.58,3.2,3.71
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2015,12,3.2,3.55,3.2,3.22
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2016,1,3.24,4.22,3.24,4.22
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2016,2,3.24,3.52,3.24,2.83
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2016,3,3.24,3.63,3.24,3.84
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2016,4,3.24,3.71,3.24,3.93
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2016,5,3.24,3.74,3.24,3.86
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2016,6,3.24,3.91,3.24,4.75
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2016,7,3.24,3.88,3.24,3.7
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2016,8,3.24,3.97,3.24,4.55
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2016,9,3.24,3.94,3.24,3.75
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2016,10,3.24,3.86,3.24,3.11
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2016,11,3.24,3.77,3.24,2.88
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2016,12,3.24,3.64,3.24,2.28
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2017,1,3.36,3.41,3.36,3.41
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2017,2,3.36,3.05,3.36,2.7
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate ,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.,Safety Indicators,M,D,-,2,2017,3,3.36,3.12,3.36,3.26
